CP	P	ANO	Estado	Ambiente
13.2	35	1980	SãoPaulo	Grande
12.2	25	1981	SãoPaulo	Grande
13.9	40	1981	SãoPaulo	Grande
13.4	33	1981	SãoPaulo	Grande
12.9	30	1981	SãoPaulo	Grande
14.1	41	1982	SãoPaulo	Grande
12.1	26	1982	SãoPaulo	Grande
15.7	70	1982	SãoPaulo	Grande
13.5	38	1982	SãoPaulo	Grande
14.3	40	1982	SãoPaulo	Grande
14.8	42	1983	SãoPaulo	Pequeno
13.9	40	1984	SãoPaulo	Grande
11.9	22	1984	SãoPaulo	Grande
4.4	2	1985	SãoPaulo	Grande
4.5	3	1985	SãoPaulo	Grande
12.2	26	1985	SãoPaulo	Pequeno
4.6	2	1985	SãoPaulo	Grande
3.7	1	1985	SãoPaulo	Pequeno
3.3	1	1985	SãoPaulo	Pequeno
11.8	23	1986	SãoPaulo	Pequeno
16	65	1987	SãoPaulo	Pequeno
12.7	34	1987	SãoPaulo	Pequeno
16	62	1987	SãoPaulo	Pequeno
16	69	1987	SãoPaulo	Pequeno
18	91	1987	SãoPaulo	Pequeno
12.8	32	1988	SãoPaulo	Pequeno
12.9	27	1988	SãoPaulo	Grande
13	31	1988	SãoPaulo	Grande
12.9	17	1988	SãoPaulo	Grande
22.5	180	1989	SãoPaulo	Pequeno
21.4	171	1989	SãoPaulo	Pequeno
19.8	131	1989	SãoPaulo	Grande
11.9	25	1990	SãoPaulo	Pequeno
11.9	21	1990	SãoPaulo	Pequeno
10.3	13	1990	SãoPaulo	Grande
12.1	23	1994	SãoPaulo	Pequeno
12.3	24	1994	SãoPaulo	Pequeno
13.1	25	2000	SãoPaulo	Pequeno
12.9	26	2000	SãoPaulo	Pequeno
13.3	34	2001	MatoGrossodoSul	Pequeno
12.3	20	2002	SãoPaulo	Pequeno
6.3	2	2002	SãoPaulo	Pequeno
14.4	36	2004	SãoPaulo	Pequeno
13.3	31	2004	SãoPaulo	Grande
9.6	10	2005	SãoPaulo	Grande
16.7	66	2005	SãoPaulo	Pequeno
13.9	33	2005	SãoPaulo	Pequeno
13.1	30	2005	SãoPaulo	Pequeno
13	30	2005	SãoPaulo	Pequeno
18.9	99	2005	SãoPaulo	Pequeno
14.1	43	2005	SãoPaulo	Pequeno
16.2	55	2005	SãoPaulo	Pequeno
15.8	58	2005	SãoPaulo	Pequeno
16.2	65	2005	SãoPaulo	Pequeno
14.8	48	2005	SãoPaulo	Pequeno
13	46	2005	SãoPaulo	Pequeno
10.3	12	2005	SãoPaulo	Pequeno
13.8	36	2005	SãoPaulo	Pequeno
16.2	61	2005	SãoPaulo	Pequeno
16	64	2005	SãoPaulo	Pequeno
13.2	34	2005	SãoPaulo	Pequeno
12.1	24	2005	SãoPaulo	Pequeno
13	31	2005	SãoPaulo	Pequeno
10.7	16	2005	SãoPaulo	Pequeno
11	17	2005	SãoPaulo	Pequeno
9.6	12	2005	SãoPaulo	Pequeno
9	8	2005	SãoPaulo	Pequeno
8.9	8	2005	SãoPaulo	Pequeno
18.2	85	2005	SãoPaulo	Pequeno
12.9	30	2005	SãoPaulo	Pequeno
18.7	87	2005	SãoPaulo	Pequeno
15.7	54	2005	SãoPaulo	Pequeno
18	77	2005	SãoPaulo	Pequeno
17	68	2005	SãoPaulo	Pequeno
17.3	81	2006	SãoPaulo	Pequeno
16.4	58	2006	SãoPaulo	Pequeno
16.7	88	2006	SãoPaulo	Pequeno
20.6	161	2006	SãoPaulo	Pequeno
12.4	22	2006	SãoPaulo	Pequeno
12.4	27	2006	SãoPaulo	Pequeno
12	25	2006	SãoPaulo	Pequeno
11.7	22	2006	SãoPaulo	Pequeno
14.2	44	2006	SãoPaulo	Pequeno
