catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
554	13.2	35	08	12	1980	SãoPaulo	Grande	-49.42028	-20.60889
558	12.2	25	27	01	1981	SãoPaulo	Grande	-49.40306	-20.64528
553	13.9	40	02	03	1981	SãoPaulo	Grande	-49.40306	-20.64528
542	13.4	33	24	11	1981	SãoPaulo	Grande	-49.42028	-20.60889
543	12.9	30	24	12	1981	SãoPaulo	Grande	-49.42028	-20.60889
549	14.1	41	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	12.1	26	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	15.7	70	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	13.5	38	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
556	14.3	40	24	02	1982	SãoPaulo	Grande	-49.42028	-20.60889
545	14.8	42	25	04	1983	SãoPaulo	Pequeno	-49.45972	-21.02167
557	13.9	40	07	08	1984	SãoPaulo	Grande	-49.42028	-20.60889
550	11.9	22	27	09	1984	SãoPaulo	Grande	-49.42028	-20.60889
3234	4.4	2	21	05	1985	SãoPaulo	Grande	-49.40306	-20.64528
3234	4.5	3	21	05	1985	SãoPaulo	Grande	-49.40306	-20.64528
3366	4.6	2	18	11	1985	SãoPaulo	Grande	-49.38722	-20.65667
3393	3.7	1	17	12	1985	SãoPaulo	Pequeno	-49.46389	-20.61667
3393	3.3	1	17	12	1985	SãoPaulo	Pequeno	-49.46389	-20.61667
3679	11.8	23	21	01	1986	SãoPaulo	Pequeno	-49.46389	-20.61667
3021	16	65	21	03	1987	SãoPaulo	Pequeno	-49.46389	-20.61667
3021	12.7	34	21	03	1987	SãoPaulo	Pequeno	-49.46389	-20.61667
559	16	62	21	03	1987	SãoPaulo	Pequeno	-49.46389	-20.61667
559	16	69	21	03	1987	SãoPaulo	Pequeno	-49.46389	-20.61667
559	18	91	21	03	1987	SãoPaulo	Pequeno	-49.46389	-20.61667
555	12.8	32	01	05	1988	SãoPaulo	Pequeno	-49.46389	-20.61667
548	12.9	27	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
548	13	31	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
548	12.9	17	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
5286	22.5	180	16	04	1989	SãoPaulo	Pequeno	-50.05778	-20.54056
5286	21.4	171	16	04	1989	SãoPaulo	Pequeno	-50.05778	-20.54056
2008	19.8	131	25	08	1989	SãoPaulo	Grande	-49.38722	-20.65667
560	11.9	25	04	02	1990	SãoPaulo	Pequeno	-49.85028	-21.53056
18367	11.9	21	13	02	1990	SãoPaulo	Pequeno	-49.46389	-20.61667
541	10.3	13	14	02	1990	SãoPaulo	Grande	-49.95028	-21.46056
4340	12.1	23	31	03	1994	SãoPaulo	Pequeno	-49.98556	-22.89278
4340	12.3	24	31	03	1994	SãoPaulo	Pequeno	-49.98556	-22.89278
546	13.1	25	07	07	2000	SãoPaulo	Pequeno	-49.46389	-20.61667
546	12.9	26	07	07	2000	SãoPaulo	Pequeno	-49.46389	-20.61667
4920	13.3	34	11	05	2001	MatoGrossodoSul	Pequeno	-51.86028	-21.26111
12977	12.3	20	01	07	2002	SãoPaulo	Pequeno	-47.50417	-22.29222
6249	6.3	2	08	11	2002	SãoPaulo	Pequeno	-49.36833	-20.80861
6392	14.4	36	12	03	2004	SãoPaulo	Pequeno	-49.45972	-21.02167
6814	13.3	31	31	08	2004	SãoPaulo	Grande	-51.35250	-21.31111
9645	9.6	10	09	07	2005	SãoPaulo	Grande	-49.68556	-20.40222
9432	16.7	66	28	07	2005	SãoPaulo	Pequeno	-49.26500	-20.41556
9432	13.9	33	28	07	2005	SãoPaulo	Pequeno	-49.26500	-20.41556
9348	13.1	30	28	07	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9348	13	30	28	07	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9388	18.9	99	28	07	2005	SãoPaulo	Pequeno	-49.27722	-20.37972
9388	14.1	43	28	07	2005	SãoPaulo	Pequeno	-49.27722	-20.37972
9343	16.2	55	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	15.8	58	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	16.2	65	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	14.8	48	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	13	46	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	10.3	12	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9343	13.8	36	23	09	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	16.2	61	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	16	64	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	13.2	34	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	12.1	24	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	13	31	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	10.7	16	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	11	17	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	9.6	12	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	9	8	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9320	8.9	8	21	10	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
10013	18.2	85	21	12	2005	SãoPaulo	Pequeno	-49.27750	-20.35306
9310	12.9	30	27	12	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9310	18.7	87	27	12	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9310	15.7	54	27	12	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9310	18	77	27	12	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9310	17	68	27	12	2005	SãoPaulo	Pequeno	-49.26667	-20.41667
9504	17.3	81	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	16.4	58	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	16.7	88	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	20.6	161	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	12.4	22	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	12.4	27	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	12	25	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9504	11.7	22	23	03	2006	SãoPaulo	Pequeno	-49.27750	-20.35306
9361	14.2	44	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	19.9	132	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	16.5	73	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	18.4	101	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	16.3	73	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	15.8	60	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	15.7	63	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9361	15.7	56	29	03	2006	SãoPaulo	Pequeno	-49.27722	-20.37972
9285	12.2	23	29	03	2006	SãoPaulo	Pequeno	-49.26667	-20.41667
9402	17	80	29	03	2006	SãoPaulo	Pequeno	-49.26500	-20.41556
9271	11.3	18	20	06	2006	SãoPaulo	Pequeno	-49.26667	-20.41667
9271	13.2	31	20	06	2006	SãoPaulo	Pequeno	-49.26667	-20.41667
9271	11.7	22	20	06	2006	SãoPaulo	Pequeno	-49.26667	-20.41667
9271	11.8	21	20	06	2006	SãoPaulo	Pequeno	-49.26667	-20.41667
9007	14.7	40	26	08	2006	MatoGrossodoSul	Grande	-51.19861	-20.27194
9904	16.1	54	21	12	2006	SãoPaulo	Pequeno	-49.19000	-21.50583
18187	13.7	36	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	12	21	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	14.1	37	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	13.9	38	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	13.3	31	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	12.3	23	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	12.1	23	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18187	12.4	25	15	05	2007	SãoPaulo	Pequeno	-49.27750	-20.35306
18328	11.4	18	25	10	2008	SãoPaulo	Pequeno	-50.18028	-21.16056
18328	9.8	13	25	10	2008	SãoPaulo	Pequeno	-50.18028	-21.16056
13099	15.6	53	23	02	2011	SãoPaulo	Pequeno	-49.79694	-21.30167
18274	14.9	40	01	07	2011	SãoPaulo	Pequeno	-51.74278	-21.06694
17535	7.3	5	08	08	2011	SãoPaulo	Grande	-47.70028	-21.55056
17535	5.8	2	08	08	2011	SãoPaulo	Grande	-47.70028	-21.55056
18164	18.5	74	06	09	2011	SãoPaulo	Grande	-47.70028	-21.55056
17499	7.3	5	13	12	2011	SãoPaulo	Grande	-47.70028	-21.55056
17499	4	1	13	12	2011	SãoPaulo	Grande	-47.70028	-21.55056
15478	7	4	08	02	2012	SãoPaulo	Pequeno	-51.70139	-21.00056
15478	4.4	1	08	02	2012	SãoPaulo	Pequeno	-51.70139	-21.00056
15970	21.5	125	08	06	2012	Goias	Pequeno	-50.10556	-17.20611
19264	10.2	11	05	09	2013	SãoPaulo	Grande	-50.92694	-20.51889
21347	13.3	29	10	01	2017	SãoPaulo	Pequeno	-47.76878	-23.32639
21347	13.2	26	10	01	2017	SãoPaulo	Pequeno	-47.76878	-23.32639
21347	13.3	31	10	01	2017	SãoPaulo	Pequeno	-47.76878	-23.32639
21347	12.9	28	10	01	2017	SãoPaulo	Pequeno	-47.76878	-23.32639
21347	14.6	42	10	01	2017	SãoPaulo	Pequeno	-47.76878	-23.32639
