catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
554	13.2	35	08	12	1980	SãoPaulo	Grande	-49.42028	-20.60889
558	12.2	25	27	01	1981	SãoPaulo	Grande	-49.40306	-20.64528
553	13.9	40	02	03	1981	SãoPaulo	Grande	-49.40306	-20.64528
542	13.4	33	24	11	1981	SãoPaulo	Grande	-49.42028	-20.60889
543	12.9	30	24	12	1981	SãoPaulo	Grande	-49.42028	-20.60889
549	14.1	41	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	12.1	26	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	15.7	70	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
549	13.5	38	22	11	1982	SãoPaulo	Grande	-49.42028	-20.60889
556	14.3	40	24	02	1982	SãoPaulo	Grande	-49.42028	-20.60889
557	13.9	40	07	08	1984	SãoPaulo	Grande	-49.42028	-20.60889
550	11.9	22	27	09	1984	SãoPaulo	Grande	-49.42028	-20.60889
3234	4.4	2	21	05	1985	SãoPaulo	Grande	-49.40306	-20.64528
3234	4.5	3	21	05	1985	SãoPaulo	Grande	-49.40306	-20.64528
3366	4.6	2	18	11	1985	SãoPaulo	Grande	-49.38722	-20.65667
548	12.9	27	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
548	13	31	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
548	12.9	17	31	08	1988	SãoPaulo	Grande	-49.42028	-20.60889
2008	19.8	131	25	08	1989	SãoPaulo	Grande	-49.38722	-20.65667
541	10.3	13	14	02	1990	SãoPaulo	Grande	-49.95028	-21.46056
6814	13.3	31	31	08	2004	SãoPaulo	Grande	-51.35250	-21.31111
9645	9.6	10	09	07	2005	SãoPaulo	Grande	-49.68556	-20.40222
9007	14.7	40	26	08	2006	MatoGrossodoSul	Grande	-51.19861	-20.27194
17535	7.3	5	08	08	2011	SãoPaulo	Grande	-47.70028	-21.55056
17535	5.8	2	08	08	2011	SãoPaulo	Grande	-47.70028	-21.55056
18164	18.5	74	06	09	2011	SãoPaulo	Grande	-47.70028	-21.55056
17499	7.3	5	13	12	2011	SãoPaulo	Grande	-47.70028	-21.55056
17499	4	1	13	12	2011	SãoPaulo	Grande	-47.70028	-21.55056
19264	10.2	11	05	09	2013	SãoPaulo	Grande	-50.92694	-20.51889
