CP	P	ANO	state	Amb	Longitude	Latitude
13.2	35	1980	SaoPaulo	Grande	-49.42028	-20.60889
13.1	32.5	1981	SaoPaulo	Grande	-49.40306	-20.64528
13.2	31.5	1981	SaoPaulo	Grande	-49.42028	-20.60889
14.1	41.9	1982	SaoPaulo	Grande	-49.42028	-20.60889
14.8	42	1983	SaoPaulo	Pequeno	-49.45972	-21.02167
12.9	31	1984	SaoPaulo	Grande	-49.42028	-20.60889
4.5	2.5	1985	SaoPaulo	Grande	-49.40306	-20.64528
4.6	2	1985	SaoPaulo	Grande	-49.38722	-20.65667
3.5	1	1985	SaoPaulo	Pequeno	-49.46389	-20.61667
12.2	26	1985	SaoPaulo	Pequeno	NA	NA
11.8	23	1986	SaoPaulo	Pequeno	-49.46389	-20.61667
15.5	61.8	1987	SaoPaulo	Pequeno	-49.46389	-20.61667
12.8	32	1988	SaoPaulo	Pequeno	-49.46389	-20.61667
12.9	25	1988	SaoPaulo	Grande	-49.42028	-20.60889
22.0	175.5	1989	SaoPaulo	Pequeno	-50.05778	-20.54056
19.8	131	1989	SaoPaulo	Grande	-49.38722	-20.65667
11.9	25	1990	SaoPaulo	Pequeno	-49.85028	-21.53056
11.9	21	1990	SaoPaulo	Pequeno	-49.46389	-20.61667
10.3	13	1990	SaoPaulo	Grande	-49.95028	-21.46056
12.2	23.5	1994	SaoPaulo	Pequeno	-49.98556	-22.89278
13	25.5	2000	SaoPaulo	Pequeno	-49.46389	-20.61667
13.3	34	2001	MatoGrossodoSul	Pequeno	-51.86028	-21.26111
12.3	20	2002	SaoPaulo	Pequeno	-47.50417	-22.29222
6.3	2	2002	SaoPaulo	Pequeno	-49.36833	-20.80861
14.4	36	2004	SaoPaulo	Pequeno	-49.45972	-21.02167
13.3	31	2004	SaoPaulo	Grande	-51.35250	-21.31111
9.6	10	2005	SaoPaulo	Grande	-49.68556	-20.40222
15.3	49.5	2005	SaoPaulo	Pequeno	-49.26500	-20.41556
16.5	71	2005	SaoPaulo	Pequeno	-49.27722	-20.37972
18.2	85	2005	SaoPaulo	Pequeno	-49.27750	-20.35306
13.9	41.6	2005	SaoPaulo	Pequeno	-49.26667	-20.41667
14.9	60.5	2006	SaoPaulo	Pequeno	-49.27750	-20.35306
16.6	75.3	2006	SaoPaulo	Pequeno	-49.27722	-20.37972
12.1	23	2006	SaoPaulo	Pequeno	-49.26667	-20.41667
17	80	2006	SaoPaulo	Pequeno	-49.26500	-20.41556
14.7	40	2006	MatoGrossodoSul	Grande	-51.19861	-20.27194
16.1	54	2006	SaoPaulo	Pequeno	-49.19000	-21.50583
13.0	29.3	2007	SaoPaulo	Pequeno	-49.27750	-20.35306
5	1	2007	SaoPaulo	Pequeno	NA	NA
10.6	15.5	2008	SaoPaulo	Pequeno	-50.18028	-21.16056
15.6	53	2011	SaoPaulo	Pequeno	-49.79694	-21.30167
14.9	40	2011	SaoPaulo	Pequeno	-51.74278	-21.06694
10.2	26.8	2011	SaoPaulo	Grande	-47.70028	-21.55056
5.7	2.5	2012	SaoPaulo	Pequeno	-51.70139	-21.00056
21.5	125	2012	Goias	Pequeno	-50.10556	-17.20611
10.2	11	2013	SaoPaulo	Grande	-50.92694	-20.51889
13.5	31.2	2017	SaoPaulo	Pequeno	-47.76878	-23.32639
