catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
22865	4.1	2	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	6.8	9	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	3.9	2	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	3.4	1	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	4	2	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	5.8	6	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	4.6	3	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	3.8	2	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	4.1	2	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	4.7	3	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
22865	3.3	1	17	12	2012	MatoGrossodoSul	Pequeno	-51.4781080556000	-20.4169080556000
21204	5.3	5	05	02	2016	SăoPaulo	Pequeno	-49.3683333333000	-20.8086111111000
21023	3.1	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.1	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.2	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.2	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.7	2	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	6.3	7	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	5.6	6	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	5.5	5	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21321	5	3	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	4.9	4	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	5	4	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	6.4	10	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	3.1	1	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	5.2	4	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	4.6	3	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	5.3	5	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	4.5	3	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
21321	4.4	4	10	01	2017	SăoPaulo	Pequeno	-47.7687805556000	-23.3263888889000
22733	3.4	1	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22762	5.8	6	10	02	2017	SăoPaulo	Grande	-48.4186861111000	-23.4832777778000
22762	6.7	8	10	02	2017	SăoPaulo	Grande	-48.4186861111000	-23.4832777778000
22755	3.8	1	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	4.2	2	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	3.6	2	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	2.7	1	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	3	1	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	2.7	1	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	7.3	11	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	8.3	15	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22755	4.7	3	10	02	2017	SăoPaulo	Pequeno	-48.1619916667000	-23.3800750000000
22791	4	1	11	02	2017	SăoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	4.1	2	11	02	2017	SăoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	5	4	11	02	2017	SăoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	3.9	2	11	02	2017	SăoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	3.6	2	11	02	2017	SăoPaulo	Grande	-48.4102777778000	-23.4883333333000
