catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
21023	3.1	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.1	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.2	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.2	1	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21023	3.7	2	19	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	6.3	7	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	5.6	6	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
21017	5.5	5	20	07	2016	MinasGerais	Grande	-48.2771987915039	-18.9186000823975
22762	5.8	6	10	02	2017	SãoPaulo	Grande	-48.4186861111000	-23.4832777778000
22762	6.7	8	10	02	2017	SãoPaulo	Grande	-48.4186861111000	-23.4832777778000
22791	4	1	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	4.1	2	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	5	4	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	3.9	2	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	3.6	2	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22791	3.7	2	11	02	2017	SãoPaulo	Grande	-48.4102777778000	-23.4883333333000
22829	4.7	3	08	03	2017	SãoPaulo	Grande	-48.2195277778000	-23.3444444444000
22753	6	7	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
22753	4.6	2	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
22753	5.2	3	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
22753	5.3	4	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
22753	4.6	3	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
22753	5.4	4	22	05	2018	SãoPaulo	Grande	-48.5759166667000	-23.4610555556000
