catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1406	5.6	6	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.5	3	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	5	4	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.5	3	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.8	3	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	5	4	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	5.3	4	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1406	3.6	2	30	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
3805	8.3	15	01	04	1968	SăoPaulo	Pequeno	-49.480280000000	-21.340560000000
1405	11.4	42	30	11	1988	SăoPaulo	Grande	-49.420280000000	-20.608890000000
4569	3.1	1	01	01	1994	SăoPaulo	Pequeno	-49.7000007629395	-23.0300006866455
4203	5.2	5	27	07	1999	SăoPaulo	Grande	-49.2897200000000	-20.8683300000000
7780	4.6	3	15	10	2000	SăoPaulo	Grande	-49.3794400000000	-20.8197200000000
7780	7	12	15	10	2000	SăoPaulo	Grande	-49.3794400000000	-20.8197200000000
12988	7.1	12	01	07	2002	SăoPaulo	Pequeno	-47.5041700000000	-22.2922200000000
5843	7.4	12	19	03	2003	SăoPaulo	Grande	-49.5630600000000	-20.8222200000000
8014	8.2	14	02	04	2003	SăoPaulo	Grande	-47.6388900000000	-22.4513900000000
8014	3.2	1	02	04	2003	SăoPaulo	Grande	-47.6388900000000	-22.4513900000000
8014	2.8	1	02	04	2003	SăoPaulo	Grande	-47.6388900000000	-22.4513900000000
8014	10.8	42	02	04	2003	SăoPaulo	Grande	-47.6388900000000	-22.4513900000000
5913	5	4	12	04	2003	SăoPaulo	Grande	-49.9683300000000	-20.6127800000000
6122	9.5	26	15	07	2003	SăoPaulo	Grande	-50.6413900000000	-20.3080600000000
6147	5.2	5	16	07	2003	SăoPaulo	Grande	-50.7816700000000	-20.3863900000000
6147	5.2	5	16	07	2003	SăoPaulo	Grande	-50.7816700000000	-20.3863900000000
6147	3.9	2	16	07	2003	SăoPaulo	Grande	-50.7816700000000	-20.3863900000000
6147	5	4	16	07	2003	SăoPaulo	Grande	-50.7816700000000	-20.3863900000000
7951	4.1	3	25	07	2003	SăoPaulo	Grande	-47.7025000000000	-22.5638900000000
7951	4.7	3	25	07	2003	SăoPaulo	Grande	-47.7025000000000	-22.5638900000000
7951	4	2	25	07	2003	SăoPaulo	Grande	-47.7025000000000	-22.5638900000000
7948	4.3	2	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.4	2	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.5	3	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	3.9	2	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.4	3	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	3.8	2	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.6	2	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4	1	02	04	2004	SăoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
8058	9.4	23	17	04	2004	SăoPaulo	Grande	-49.6688900000000	-20.8341700000000
8058	7	11	17	04	2004	SăoPaulo	Grande	-49.6688900000000	-20.8341700000000
8096	8.1	19	08	07	2004	SăoPaulo	Grande	-49.6688900000000	-20.8341700000000
7298	7.7	18	20	07	2004	SăoPaulo	Grande	-50.1863900000000	-20.1358300000000
7298	8	18	20	07	2004	SăoPaulo	Grande	-50.1863900000000	-20.1358300000000
7298	7.7	18	20	07	2004	SăoPaulo	Grande	-50.1863900000000	-20.1358300000000
8131	8.9	25	15	08	2004	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
8168	7.4	15	19	09	2004	SăoPaulo	Grande	-49.6688900000000	20.8341700000000
8168	6.2	7	19	09	2004	SăoPaulo	Grande	-49.6688900000000	20.8341700000000
8239	6	8	01	02	2005	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
8239	6.6	10	01	02	2005	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
8239	6.1	8	01	02	2005	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
8273	6.6	9	02	04	2005	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
8273	5.3	6	02	04	2005	SăoPaulo	Grande	-49.6561100000000	-20.8522200000000
16175	6.6	10	30	07	2005	SăoPaulo	Grande	-49.2344400000000	-20.8525000000000
9899	7.1	11	16	08	2005	SăoPaulo	Grande	-48.6041700000000	-21.1663900000000
9899	6	8	16	08	2005	SăoPaulo	Grande	-48.6041700000000	-21.1663900000000
9867	3.3	1	18	08	2005	SăoPaulo	Grande	-48.9516700000000	-21.2122200000000
11300	3.2	1	14	12	2005	SăoPaulo	Pequeno	-52.1691700000000	-22.6169400000000
