catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1405	11.4	42	30	11	1988	SãoPaulo	Grande	-49.42028	-20.60889
4203	5.2	5	27	07	1999	SãoPaulo	Grande	-49.28972	-20.86833
7780	4.6	3	15	10	2000	SãoPaulo	Grande	-49.37944	-20.81972
7780	7	12	15	10	2000	SãoPaulo	Grande	-49.37944	-20.81972
5843	7.4	12	19	03	2003	SãoPaulo	Grande	-49.56306	-20.82222
8014	8.2	14	02	04	2003	SãoPaulo	Grande	-47.63889	-22.45139
8014	3.2	1	02	04	2003	SãoPaulo	Grande	-47.63889	-22.45139
8014	2.8	1	02	04	2003	SãoPaulo	Grande	-47.63889	-22.45139
8014	10.8	42	02	04	2003	SãoPaulo	Grande	-47.63889	-22.45139
5913	5	4	12	04	2003	SãoPaulo	Grande	-49.96833	-20.61278
6122	9.5	26	15	07	2003	SãoPaulo	Grande	-50.64139	-20.30806
6147	5.2	5	16	07	2003	SãoPaulo	Grande	-50.78167	-20.38639
6147	5.2	5	16	07	2003	SãoPaulo	Grande	-50.78167	-20.38639
6147	3.9	2	16	07	2003	SãoPaulo	Grande	-50.78167	-20.38639
6147	5	4	16	07	2003	SãoPaulo	Grande	-50.78167	-20.38639
7951	4.1	3	25	07	2003	SãoPaulo	Grande	-47.70250	-22.56389
7951	4.7	3	25	07	2003	SãoPaulo	Grande	-47.70250	-22.56389
7951	4	2	25	07	2003	SãoPaulo	Grande	-47.70250	-22.56389
5753	3	1	10	09	2003	Paraná	Grande	-49.58583	-25.57944
8058	9.4	23	17	04	2004	SãoPaulo	Grande	-49.66889	-20.83417
8058	7	11	17	04	2004	SãoPaulo	Grande	-49.66889	-20.83417
8096	8.1	19	08	07	2004	SãoPaulo	Grande	-49.66889	-20.83417
7298	7.7	18	20	07	2004	SãoPaulo	Grande	-50.18639	-20.13583
7298	8	18	20	07	2004	SãoPaulo	Grande	-50.18639	-20.13583
7298	7.7	18	20	07	2004	SãoPaulo	Grande	-50.18639	-20.13583
8131	8.9	25	15	08	2004	SãoPaulo	Grande	-49.65611	-20.85222
8168	7.4	15	19	09	2004	SãoPaulo	Grande	-49.66889	20.83417
8168	6.2	7	19	09	2004	SãoPaulo	Grande	-49.66889	20.83417
8239	6	8	01	02	2005	SãoPaulo	Grande	-49.65611	-20.85222
8239	6.6	10	01	02	2005	SãoPaulo	Grande	-49.65611	-20.85222
8239	6.1	8	01	02	2005	SãoPaulo	Grande	-49.65611	-20.85222
8273	6.6	9	02	04	2005	SãoPaulo	Grande	-49.65611	-20.85222
8273	5.3	6	02	04	2005	SãoPaulo	Grande	-49.65611	-20.85222
16175	6.6	10	30	07	2005	SãoPaulo	Grande	-49.23444	-20.8525
9899	7.1	11	16	08	2005	SãoPaulo	Grande	-48.60417	-21.16639
9899	6	8	16	08	2005	SãoPaulo	Grande	-48.60417	-21.16639
9867	3.3	1	18	08	2005	SãoPaulo	Grande	-48.95167	-21.21222
8388	5.8	4	18	01	2006	SãoPaulo	Grande	-47.65667	-21.68139
8419	2.9	1	20	01	2006	SãoPaulo	Grande	-47.63056	-21.64111
10919	4	3	03	08	2007	SãoPaulo	Grande	-49.08056	-21.78361
14561	7.3	13	01	04	2011	SãoPaulo	Grande	-49.00750	-21.05583
19193	8.5	19	20	04	2011	SãoPaulo	Grande	-49.24083	-20.87889
14604	8.4	18	01	07	2011	SãoPaulo	Grande	-49.41139	-21.01167
16477	10.3	37	14	12	2011	SãoPaulo	Grande	-51.54333	-21.64972
16477	8.2	21	14	12	2011	SãoPaulo	Grande	-51.54333	-21.64972
18540	5.8	7	16	11	2012	SãoPaulo	Grande	-49.02667	-20.96833
