catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1406	5.6	6	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.5	3	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	5	4	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.5	3	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	4.8	3	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	5	4	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	5.3	4	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
1406	3.6	2	30	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
3805	8.3	15	01	04	1968	São Paulo	Pequeno	-49.480280000000	-21.340560000000
4569	3.1	1	01	01	1994	São Paulo	Pequeno	-49.7000007629395	-23.0300006866455
12988	7.1	12	01	07	2002	São Paulo	Pequeno	-47.5041700000000	-22.2922200000000
7948	4.3	2	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.4	2	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.5	3	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	3,9	2	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.4	3	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	3.8	2	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4.6	2	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
7948	4	1	02	04	2004	São Paulo	Pequeno	-47.6527800000000	-22.5366700000000
11300	3.2	1	14	12	2005	São Paulo	Pequeno	-52.1691700000000	-22.6169400000000
11300	3.2	1	14	12	2005	São Paulo	Pequeno	-52.1691700000000	-22.6169400000000
9118	2.8	1	25	04	2006	São Paulo	Pequeno	-52.1683300000000	-22.6186100000000
9118	2.9	1	25	04	2006	São Paulo	Pequeno	-52.1683300000000	-22.6186100000000
9118	2.9	1	25	04	2006	São Paulo	Pequeno	-52.1683300000000	-22.6186100000000
15379	8.5	18	1	5	2006	São Paulo	Pequeno	-46.9566700000000	-24.1202800000000
15379	7.3	10	1	5	2006	São Paulo	Pequeno	-46.9566700000000	-24.1202800000000
15379	6.6	8	1	5	2006	São Paulo	Pequeno	-46.9566700000000	-24.1202800000000
15379	4.8	3	1	5	2006	São Paulo	Pequeno	-46.9566700000000	-24.1202800000000
15379	5.4	4	1	5	2006	São Paulo	Pequeno	-46.9566700000000	-24.1202800000000
18196	5.5	5	11	06	2007	São Paulo	Pequeno	-49.9805600000000	-20.9905600000000
13675	3.8	1	22	07	2010	São Paulo	Pequeno	-47.2561100000000	-23.8111100000000
17730	11	39	18	12	2012	São Paulo	Pequeno	-48.6258300000000	-22.5047200000000
19224	4.1	2	12	07	2013	São Paulo	Pequeno	-46.9205600000000	-21.9430600000000
19224	3.8	1	12	07	2013	São Paulo	Pequeno	-46.9205600000000	-21.9430600000000
19307	9.2	27	10	09	2013	São Paulo	Pequeno	-50.8133300000000	-20.3861100000000
19307	8.5	21	10	09	2013	São Paulo	Pequeno	-50.8133300000000	-20.3861100000000
