CP	P	ANO	state	Amb	Longitude	Latitude
6.5	9.3	1968	SaoPaulo	Pequeno	-49.480280000000	-21.340560000000
11.4	42	1988	SaoPaulo	Grande	-49.420280000000	-20.608890000000
3.1	1	1994	SaoPaulo	Pequeno	-49.7000007629395	-23.0300006866455
3.1	1	1994	SaoPaulo	Pequeno	NA	NA
5.2	5	1999	SaoPaulo	Grande	-49.2897200000000	-20.8683300000000
5.8	7.5	2000	SaoPaulo	Grande	-49.3794400000000	-20.8197200000000
7.1	12	2002	SaoPaulo	Pequeno	-47.5041700000000	-22.2922200000000
7.4	12	2003	SaoPaulo	Grande	-49.5630600000000	-20.8222200000000
6.3	14.5	2003	SaoPaulo	Grande	-47.6388900000000	-22.4513900000000
5	4	2003	SaoPaulo	Grande	-49.9683300000000	-20.6127800000000
9.5	26	2003	SaoPaulo	Grande	-50.6413900000000	-20.3080600000000
4.8	4	2003	SaoPaulo	Grande	-50.7816700000000	-20.3863900000000
4.3	2.7	2003	SaoPaulo	Grande	-47.7025000000000	-22.5638900000000
4.2	2.1	2004	SaoPaulo	Pequeno	-47.6527800000000	-22.5366700000000
7.7	15.7	2004	SaoPaulo	Grande	-49.6688900000000	20.8341700000000
7.8	18	2004	SaoPaulo	Grande	-50.1863900000000	-20.1358300000000
8.9	25	2004	SaoPaulo	Grande	-49.6561100000000	-20.8522200000000
6.2	8.7	2005	SaoPaulo	Grande	-49.6561100000000	-20.8522200000000
6.0	7.5	2005	SaoPaulo	Grande	-49.6561100000000	-20.8522200000000
6.6	10	2005	SaoPaulo	Grande	-49.2344400000000	-20.8525000000000
6.6	9.5	2005	SaoPaulo	Grande	-48.6041700000000	-21.1663900000000
3.3	1	2005	SaoPaulo	Grande	-48.9516700000000	-21.2122200000000
3.2	1	2005	SaoPaulo	Pequeno	-52.1691700000000	-22.6169400000000
5.8	4	2006	SaoPaulo	Grande	-47.6566700000000	-21.6813900000000
2.9	1	2006	SaoPaulo	Grande	-47.6305600000000	-21.6411100000000
2.9	1	2006	SaoPaulo	Pequeno	-52.1683300000000	-22.6186100000000
6.5	8.6	2006	SaoPaulo	Pequeno	-46.9566700000000	-24.1202800000000
5.5	5	2007	SaoPaulo	Pequeno	-49.9805600000000	-20.9905600000000
4	3	2007	SaoPaulo	Grande	-49.0805600000000	-21.7836100000000
3.8	1	2010	SaoPaulo	Pequeno	-47.2561100000000	-23.8111100000000
7.3	13	2011	SaoPaulo	Grande	-49.0075000000000	-21.0558300000000
8.5	19	2011	SaoPaulo	Grande	-49.2408300000000	-20.8788900000000
8.4	18	2011	SaoPaulo	Grande	-49.4113900000000	-21.0116700000000
10.3	29	2011	SaoPaulo	Grande	-51.5433300000000	-21.6497200000000
5.8	7	2012	SaoPaulo	Grande	-49.0266700000000	-20.9683300000000
11	39	2012	SaoPaulo	Pequeno	-48.6258300000000	-22.5047200000000
4.0	1.5	2013	SaoPaulo	Pequeno	-46.9205600000000	-21.9430600000000
8.9	24	2013	SaoPaulo	Pequeno	-50.8133300000000	-20.3861100000000
