catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1019	5	2	10	03	1980	SăoPaulo	Grande	-49.3872200000	-20.6566700000
3505	4.4	2	19	04	1980	SăoPaulo	Grande	-49.4061100000	-20.7019400000
1023	4.6	2	04	07	1980	SăoPaulo	Grande	-49.3872200000	-20.6566700000
1023	5.4	3	04	07	1980	SăoPaulo	Grande	-49.3872200000	-20.6566700000
960	12.8	37	16	12	1980	SăoPaulo	Grande	-49.4030600000	-20.6452800000
960	8.1	9	16	12	1980	SăoPaulo	Grande	-49.4030600000	-20.6452800000
3344	5.3	3	17	12	1980	SăoPaulo	Pequeno	-49.5480600000	-21.0766700000
1020	4.4	2	30	12	1980	SăoPaulo	Grande	-49.3872200000	-20.6566700000
7263	18.5	212	30	12	1980	SăoPaulo	Grande	-49.4202800000	-20.6088900000
7263	21.7	224	30	12	1980	SăoPaulo	Grande	-49.4202800000	-20.6088900000
1018	5.6	3	27	01	1981	SăoPaulo	Grande	-49.3872200000	-20.6566700000
1018	8	11	27	01	1981	SăoPaulo	Grande	-49.3872200000	-20.6566700000
951	7	6	24	12	1981	SăoPaulo	Grande	-49.4030600000	-20.6452800000
964	3.6	1	20	01	1984	SăoPaulo	Grande	-49.3872200000	-20.6566700000
965	5.1	3	30	04	1984	SăoPaulo	Pequeno	-49.2683300000	-20.9027800000
965	4.4	1	30	04	1984	SăoPaulo	Pequeno	-49.2683300000	-20.9027800000
966	10.4	23	30	04	1984	SăoPaulo	Pequeno	-49.2683300000	-20.9027800000
948	3.9	1	10	09	1984	SăoPaulo	Grande	-49.3872200000	-20.6566700000
957	6.3	5	14	02	1985	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
961	8.8	15	23	02	1985	SăoPaulo	Grande	-49.3872200000	-20.6566700000
18309	8.5	14	12	03	1985	SăoPaulo	Grande	-49.4202800000	-20.6088900000
1925	12.6	43	05	09	1985	SăoPaulo	Grande	-49.4202800000	-20.6088900000
3330	10.2	21	05	09	1985	SăoPaulo	Grande	-49.3872200000	-20.6566700000
3387	12.9	45	17	12	1985	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
3387	11.1	27	17	12	1985	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
2182	7.9	9	15	05	1986	SăoPaulo	Pequeno	-48.0022200000	-24.6925000000
2182	3.5	1	15	05	1986	SăoPaulo	Pequeno	-48.0022200000	-24.6925000000
1919	16.2	96	31	12	1986	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
1919	15	76	31	12	1986	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
1919	16.4	85	31	12	1986	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
3221	16.5	86	13	10	1987	SăoPaulo	Pequeno	-48.0022200000	-24.6925000000
3411	19.4	128	01	01	1988	SăoPaulo	Pequeno	-48.1163900000	-22.2791700000
3411	17.5	108	01	01	1988	SăoPaulo	Pequeno	-48.1163900000	-22.2791700000
971	12.5	44	10	03	1988	SăoPaulo	Grande	-49.3933300000	-21.1911100000
971	9.1	15	10	03	1988	SăoPaulo	Grande	-49.3933300000	-21.1911100000
969	19.4	140	25	03	1988	SăoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	19	138	25	03	1988	SăoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	16.8	97	25	03	1988	SăoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	18.4	136	25	03	1988	SăoPaulo	Pequeno	-49.9802800000	-22.8905600000
1026	7.6	9	12	04	1988	SăoPaulo	Grande	-49.4002800000	-21.2705600000
968	5.2	2	30	09	1988	SăoPaulo	Pequeno	-51.5019400000	-20.8225000000
970	10.9	25	04	10	1988	SăoPaulo	Grande	-49.3933300000	-21.1911100000
963	10.8	23	23	11	1988	SăoPaulo	Grande	-49.4202800000	-20.6088900000
949	6.5	6	14	12	1988	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	4	1	14	12	1988	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	3.5	1	14	12	1988	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	3.5	1	14	12	1988	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
967	14	61	26	02	1989	SăoPaulo	Grande	-49.3933300000	-21.1911100000
967	8.7	14	26	02	1989	SăoPaulo	Grande	-49.3933300000	-21.1911100000
1926	28	320	16	04	1989	SăoPaulo	Pequeno	-50.0577800000	-20.5405600000
953	11.1	28	09	01	1990	SăoPaulo	Grande	-49.3772200000	-21.0427800000
953	5.2	3	09	01	1990	SăoPaulo	Grande	-49.3772200000	-21.0427800000
18385	7.1	7	24	01	1990	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
972	17.1	115	21	02	1990	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
2014	3.9	1	22	12	1990	SăoPaulo	Pequeno	-49.4638900000	-20.6166700000
958	13	48	18	11	1991	SăoPaulo	Grande	-49.3772200000	-21.0427800000
955	7.8	9	07	04	1992	SăoPaulo	Grande	-49.3550000000	-20.7738900000
954	9	16	22	04	1992	SăoPaulo	Grande	-49.3550000000	-20.7738900000
3448	17.5	110	16	11	1992	SăoPaulo	Grande	-49.3933300000	-21.1911100000
3448	11.8	33	16	11	1992	SăoPaulo	Grande	-49.3933300000	-21.1911100000
3448	5.6	3	16	11	1992	SăoPaulo	Grande	-49.3933300000	-21.1911100000
2258	7.7	9	08	02	1993	SăoPaulo	Pequeno	-45.4305600000	-23.5305600000
18341	10.2	18	17	01	1997	SăoPaulo	Grande	-49.3933300000	-21.1911100000
18341	4.9	2	17	01	1997	SăoPaulo	Grande	-49.3933300000	-21.1911100000
12827	10.1	23	08	01	1998	SăoPaulo	Grande	-45.7358300000	-23.5641700000
2946	14	57	24	05	1998	SăoPaulo	Grande	-49.2897200000	-20.8683300000
4070	18.3	137	27	08	1998	SăoPaulo	Grande	-49.3652800000	-20.8527800000
3768	6.5	6	21	03	1999	SăoPaulo	Grande	-49.3513900000	-20.8441700000
3768	4.8	2	21	03	1999	SăoPaulo	Grande	-49.3513900000	-20.8441700000
3774	5.8	4	8	8	1999	SăoPaulo	Grande	-49.3588900000	-20.8608300000
6698	16	93	23	09	1999	SăoPaulo	Grande	-49.2897200000	-20.8683300000
5186	18.5	237	24	09	1999	MatoGrossodoSul	Pequeno	-51.6311100000	-20.8555600000
4760	9.4	16	14	06	2001	SăoPaulo	Pequeno	-53.0583300000	-22.5675000000
592	15	67	26	9	2001	SăoPaulo	Grande	-50.4008300000	-20.2877800000
592	11.3	27	26	9	2001	SăoPaulo	Grande	-50.4008300000	-20.2877800000
4907	13	44	14	10	2001	SăoPaulo	Pequeno	-50.4705600000	-20.2113900000
4907	10.9	27	14	10	2001	SăoPaulo	Pequeno	-50.4705600000	-20.2113900000
4907	10.4	21	14	10	2001	SăoPaulo	Pequeno	-50.4705600000	-20.2113900000
5014	3.7	1	22	11	2001	SăoPaulo	Pequeno	-49.3683300000	-20.8086100000
5004	18.2	132	15	12	2001	SăoPaulo	Grande	-50.3277800000	-19.9211100000
5004	10.5	25	15	12	2001	SăoPaulo	Grande	-50.3277800000	-19.9211100000
5004	7.6	8	15	12	2001	SăoPaulo	Grande	-50.3277800000	-19.9211100000
5085	9.8	20	15	01	2002	SăoPaulo	Grande	-50.5008300000	-20.2127800000
5085	8.5	13	15	01	2002	SăoPaulo	Grande	-50.5008300000	-20.2127800000
6234	4.2	2	07	05	2002	SăoPaulo	Pequeno	-49.3683300000	-20.8086100000
6234	8.7	12	07	05	2002	SăoPaulo	Pequeno	-49.3683300000	-20.8086100000
5306	15.2	79	05	10	2002	SăoPaulo	Grande	-50.4844400000	-20.1966700000
5306	15.7	84	05	10	2002	SăoPaulo	Grande	-50.4844400000	-20.1966700000
5306	14.7	67	05	10	2002	SăoPaulo	Grande	-50.4844400000	-20.1966700000
8004	7.3	7	04	02	2003	SăoPaulo	Grande	-47.7025000000	-22.5638900000
6959	7.1	7	06	02	2003	SăoPaulo	Grande	-50.3102800000	-21.4555600000
6959	7.1	6	06	02	2003	SăoPaulo	Grande	-50.3102800000	-21.4555600000
7252	5.6	3	26	02	2003	SăoPaulo	Grande	-49.3933300000	-21.1911100000
5847	11.8	31	15	03	2003	SăoPaulo	Grande	-49.5811100000	-20.7794400000
5860	9.7	18	15	03	2003	SăoPaulo	Grande	-49.7100000000	-20.7147200000
