catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1019	5	2	10	03	1980	SãoPaulo	Grande	-49.3872200000	-20.6566700000
3505	4.4	2	19	04	1980	SãoPaulo	Grande	-49.4061100000	-20.7019400000
1023	4.6	2	04	07	1980	SãoPaulo	Grande	-49.3872200000	-20.6566700000
1023	5.4	3	04	07	1980	SãoPaulo	Grande	-49.3872200000	-20.6566700000
960	12.8	37	16	12	1980	SãoPaulo	Grande	-49.4030600000	-20.6452800000
960	8.1	9	16	12	1980	SãoPaulo	Grande	-49.4030600000	-20.6452800000
1020	4.4	2	30	12	1980	SãoPaulo	Grande	-49.3872200000	-20.6566700000
7263	18.5	212	30	12	1980	SãoPaulo	Grande	-49.4202800000	-20.6088900000
7263	21.7	224	30	12	1980	SãoPaulo	Grande	-49.4202800000	-20.6088900000
1018	5.6	3	27	01	1981	SãoPaulo	Grande	-49.3872200000	-20.6566700000
1018	8	11	27	01	1981	SãoPaulo	Grande	-49.3872200000	-20.6566700000
951	7	6	24	12	1981	SãoPaulo	Grande	-49.4030600000	-20.6452800000
964	3.6	1	20	01	1984	SãoPaulo	Grande	-49.3872200000	-20.6566700000
948	3.9	1	10	09	1984	SãoPaulo	Grande	-49.3872200000	-20.6566700000
961	8.8	15	23	02	1985	SãoPaulo	Grande	-49.3872200000	-20.6566700000
18309	8.5	14	12	03	1985	SãoPaulo	Grande	-49.4202800000	-20.6088900000
1925	12.6	43	05	09	1985	SãoPaulo	Grande	-49.4202800000	-20.6088900000
3330	10.2	21	05	09	1985	SãoPaulo	Grande	-49.3872200000	-20.6566700000
971	12.5	44	10	03	1988	SãoPaulo	Grande	-49.3933300000	-21.1911100000
971	9.1	15	10	03	1988	SãoPaulo	Grande	-49.3933300000	-21.1911100000
1026	7.6	9	12	04	1988	SãoPaulo	Grande	-49.4002800000	-21.2705600000
970	10.9	25	04	10	1988	SãoPaulo	Grande	-49.3933300000	-21.1911100000
963	10.8	23	23	11	1988	SãoPaulo	Grande	-49.4202800000	-20.6088900000
967	14	61	26	02	1989	SãoPaulo	Grande	-49.3933300000	-21.1911100000
967	8.7	14	26	02	1989	SãoPaulo	Grande	-49.3933300000	-21.1911100000
953	11.1	28	09	01	1990	SãoPaulo	Grande	-49.3772200000	-21.0427800000
953	5.2	3	09	01	1990	SãoPaulo	Grande	-49.3772200000	-21.0427800000
958	13	48	18	11	1991	SãoPaulo	Grande	-49.3772200000	-21.0427800000
955	7.8	9	07	04	1992	SãoPaulo	Grande	-49.3550000000	-20.7738900000
954	9	16	22	04	1992	SãoPaulo	Grande	-49.3550000000	-20.7738900000
3448	17.5	110	16	11	1992	SãoPaulo	Grande	-49.3933300000	-21.1911100000
3448	11.8	33	16	11	1992	SãoPaulo	Grande	-49.3933300000	-21.1911100000
3448	5.6	3	16	11	1992	SãoPaulo	Grande	-49.3933300000	-21.1911100000
18341	10.2	18	17	01	1997	SãoPaulo	Grande	-49.3933300000	-21.1911100000
18341	4.9	2	17	01	1997	SãoPaulo	Grande	-49.3933300000	-21.1911100000
12827	10.1	23	08	01	1998	SãoPaulo	Grande	-45.7358300000	-23.5641700000
2946	14	57	24	05	1998	SãoPaulo	Grande	-49.2897200000	-20.8683300000
4070	18.3	137	27	08	1998	SãoPaulo	Grande	-49.3652800000	-20.8527800000
3768	6.5	6	21	03	1999	SãoPaulo	Grande	-49.3513900000	-20.8441700000
3768	4.8	2	21	03	1999	SãoPaulo	Grande	-49.3513900000	-20.8441700000
3774	5.8	4	8	8	1999	SãoPaulo	Grande	-49.3588900000	-20.8608300000
6698	16	93	23	09	1999	SãoPaulo	Grande	-49.2897200000	-20.8683300000
592	15	67	26	9	2001	SãoPaulo	Grande	-50.4008300000	-20.2877800000
592	11.3	27	26	9	2001	SãoPaulo	Grande	-50.4008300000	-20.2877800000
5004	18.2	132	15	12	2001	SãoPaulo	Grande	-50.3277800000	-19.9211100000
5004	10.5	25	15	12	2001	SãoPaulo	Grande	-50.3277800000	-19.9211100000
5004	7.6	8	15	12	2001	SãoPaulo	Grande	-50.3277800000	-19.9211100000
5085	9.8	20	15	01	2002	SãoPaulo	Grande	-50.5008300000	-20.2127800000
5085	8.5	13	15	01	2002	SãoPaulo	Grande	-50.5008300000	-20.2127800000
5306	15.2	79	05	10	2002	SãoPaulo	Grande	-50.4844400000	-20.1966700000
5306	15.7	84	05	10	2002	SãoPaulo	Grande	-50.4844400000	-20.1966700000
5306	14.7	67	05	10	2002	SãoPaulo	Grande	-50.4844400000	-20.1966700000
8004	7.3	7	04	02	2003	SãoPaulo	Grande	-47.7025000000	-22.5638900000
6959	7.1	7	06	02	2003	SãoPaulo	Grande	-50.3102800000	-21.4555600000
6959	7.1	6	06	02	2003	SãoPaulo	Grande	-50.3102800000	-21.4555600000
7252	5.6	3	26	02	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
5847	11.8	31	15	03	2003	SãoPaulo	Grande	-49.5811100000	-20.7794400000
5860	9.7	18	15	03	2003	SãoPaulo	Grande	-49.7100000000	-20.7147200000
5860	6.8	5	15	03	2003	SãoPaulo	Grande	-49.7100000000	-20.7147200000
5860	4.2	1	15	03	2003	SãoPaulo	Grande	-49.7100000000	-20.7147200000
5860	5.1	3	15	03	2003	SãoPaulo	Grande	-49.7100000000	-20.7147200000
5869	12.8	39	16	03	2003	SãoPaulo	Grande	-49.7116700000	-20.6083300000
5833	18.5	149	19	03	2003	SãoPaulo	Grande	-49.5630600000	-20.8222200000
5891	8.6	11	12	04	2003	SãoPaulo	Grande	-49.8925000000	-20.6255600000
5902	26	454	12	04	2003	SãoPaulo	Grande	-49.9683300000	-20.6127800000
5923	9.2	17	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5923	8.3	13	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5923	9.3	17	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5923	9	14	12	04	2003	SãoPaulo	Grande	-50.0211100000	-20.6741700000
5915	6.4	4	13	04	2003	SãoPaulo	Grande	-49.9352800000	-20.5419400000
5936	8.8	14	17	04	2003	SãoPaulo	Grande	-50.0213900000	-20.6313900000
5985	8.1	9	24	05	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	8.1	12	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	8.5	12	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	5.1	3	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	6.7	5	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	6.2	5	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	6.8	6	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
5990	6.6	6	24	5	2003	SãoPaulo	Grande	-50.2633300000	-20.4441700000
6011	11.5	32	25	05	2003	SãoPaulo	Grande	-50.3847200000	-20.3144400000
6011	9.6	21	25	05	2003	SãoPaulo	Grande	-50.3847200000	-20.3144400000
6023	21.5	277	25	05	2003	SãoPaulo	Grande	-50.4725000000	-20.4627800000
6023	21	294	25	05	2003	SãoPaulo	Grande	-50.4725000000	-20.4627800000
6023	3.6	1	25	05	2003	SãoPaulo	Grande	-50.4725000000	-20.4627800000
6044	16.2	83	03	06	2003	SãoPaulo	Grande	-50.4222200000	-20.6025000000
6051	7.3	8	03	06	2003	SãoPaulo	Grande	-50.3716700000	-20.6286100000
6062	14.5	66	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	16.9	108	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	13.5	44	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	16.4	94	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	13.2	37	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	10.3	17	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	10.4	17	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	11.9	29	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6062	8.5	11	03	07	2003	SãoPaulo	Grande	-50.5680600000	-20.6058300000
6095	9.2	16	14	07	2003	SãoPaulo	Grande	-50.5858300000	-20.3830600000
6127	7.2	7	15	07	2003	SãoPaulo	Grande	-50.6786100000	-20.3475000000
6127	6.8	6	15	07	2003	SãoPaulo	Grande	-50.6786100000	-20.3475000000
6127	5.4	3	15	07	2003	SãoPaulo	Grande	-50.6786100000	-20.3475000000
6142	17.2	121	16	07	2003	SãoPaulo	Grande	-50.7816700000	-20.3863900000
6142	9.6	16	16	07	2003	SãoPaulo	Grande	-50.7816700000	-20.3863900000
6086	17	111	17	07	2003	SãoPaulo	Grande	-51.0488900000	-20.5247200000
6086	6.9	6	17	07	2003	SãoPaulo	Grande	-51.0488900000	-20.5247200000
6181	17.9	157	17	07	2003	SãoPaulo	Grande	-50.9127800000	-20.1516700000
7159	7.4	7	18	08	2003	SãoPaulo	Grande	-49.4030600000	-20.6452800000
7173	7.5	9	22	08	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7236	5.6	3	01	12	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
7236	4	1	01	12	2003	SãoPaulo	Grande	-49.3933300000	-21.1911100000
6423	5.2	3	16	04	2004	SãoPaulo	Grande	-49.3519400000	-20.8411100000
6441	6.2	4	17	04	2004	SãoPaulo	Grande	-49.4577800000	-20.7850000000
8065	9.5	16	17	04	2004	SãoPaulo	Grande	-49.6783300000	-20.8138900000
6455	10.7	22	21	04	2004	SãoPaulo	Grande	-49.3200000000	-20.8936100000
6455	4.1	1	21	04	2004	SãoPaulo	Grande	-49.3200000000	-20.8936100000
7434	7.9	8	24	06	2004	SãoPaulo	Grande	-50.9411100000	-20.0791700000
7426	6	4	24	06	2004	SãoPaulo	Grande	-50.8158300000	-20.1333300000
7406	16.4	95	25	06	2004	SãoPaulo	Grande	-50.6219400000	-19.9913900000
7406	10.8	23	25	06	2004	SãoPaulo	Grande	-50.6219400000	-19.9913900000
8098	6.9	6	08	07	2004	SãoPaulo	Grande	-49.6688900000	-20.8341700000
7346	17	88	14	07	2004	SãoPaulo	Grande	-50.4927800000	-20.1683300000
7346	8	9	14	07	2004	SãoPaulo	Grande	-50.4927800000	-20.1683300000
7322	17	90	19	07	2004	SãoPaulo	Grande	-50.4472200000	-19.9727800000
7322	8	11	19	07	2004	SãoPaulo	Grande	-50.4472200000	-19.9727800000
7327	19.5	117	19	07	2004	SãoPaulo	Grande	-50.4847200000	-20.2436100000
7336	8.9	13	19	07	2004	SãoPaulo	Grande	-50.4375000000	-20.1550000000
7336	7.4	7	19	07	2004	SãoPaulo	Grande	-50.4375000000	-20.1550000000
7336	9.3	14	19	07	2004	SãoPaulo	Grande	-50.4375000000	-20.1550000000
7273	4.3	1	21	07	2004	SãoPaulo	Grande	-49.9602800000	-20.2044400000
7264	16.2	83	21	07	2004	SãoPaulo	Grande	-49.9252800000	-20.2888900000
7264	9	16	21	07	2004	SãoPaulo	Grande	-49.9252800000	-20.2888900000
7367	13	46	21	07	2004	SãoPaulo	Grande	-50.3797200000	-20.1425000000
6664	6.2	5	13	08	2004	SãoPaulo	Grande	-49.3519400000	-20.8411100000
8121	9.4	17	15	08	2004	SãoPaulo	Grande	-49.6561100000	-20.8522200000
6926	9.9	17	23	10	2004	SãoPaulo	Grande	-49.3191700000	-20.8377800000
8197	13.8	51	15	01	2005	SãoPaulo	Grande	-49.6561100000	-20.8522200000
8220	4.7	2	15	01	2005	SãoPaulo	Grande	-49.6783300000	-20.8138900000
8234	9.7	18	01	02	2005	SãoPaulo	Grande	-49.6561100000	-20.8522200000
7142	5.7	4	20	02	2005	SãoPaulo	Grande	-49.3519400000	-20.8411100000
7142	5.6	3	20	02	2005	SãoPaulo	Grande	-49.3519400000	-20.8411100000
8275	4.1	2	02	04	2005	SãoPaulo	Grande	-49.6561100000	-20.8522200000
