catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
3344	5.3	3	17	12	1980	SãoPaulo	Pequeno	-49.5480600000	-21.0766700000
965	5.1	3	30	04	1984	SãoPaulo	Pequeno	-49.2683300000	-20.9027800000
965	4.4	1	30	04	1984	SãoPaulo	Pequeno	-49.2683300000	-20.9027800000
966	10.4	23	30	04	1984	SãoPaulo	Pequeno	-49.2683300000	-20.9027800000
957	6.3	5	14	02	1985	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
3387	12.9	45	17	12	1985	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
3387	11.1	27	17	12	1985	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
2182	7.9	9	15	05	1986	SãoPaulo	Pequeno	-48.0022200000	-24.6925000000
2182	3.5	1	15	05	1986	SãoPaulo	Pequeno	-48.0022200000	-24.6925000000
1919	16.2	96	31	12	1986	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
1919	15	76	31	12	1986	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
1919	16.4	85	31	12	1986	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
3221	16.5	86	13	10	1987	SãoPaulo	Pequeno	-48.0022200000	-24.6925000000
3411	19.4	128	01	01	1988	SãoPaulo	Pequeno	-48.1163900000	-22.2791700000
3411	17.5	108	01	01	1988	SãoPaulo	Pequeno	-48.1163900000	-22.2791700000
969	19.4	140	25	03	1988	SãoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	19	138	25	03	1988	SãoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	16.8	97	25	03	1988	SãoPaulo	Pequeno	-49.9802800000	-22.8905600000
969	18.4	136	25	03	1988	SãoPaulo	Pequeno	-49.9802800000	-22.8905600000
968	5.2	2	30	09	1988	SãoPaulo	Pequeno	-51.5019400000	-20.8225000000
949	6.5	6	14	12	1988	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	4	1	14	12	1988	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	3.5	1	14	12	1988	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
949	3.5	1	14	12	1988	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
1926	28	320	16	04	1989	SãoPaulo	Pequeno	-50.0577800000	-20.5405600000
18385	7.1	7	24	01	1990	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
972	17.1	115	21	02	1990	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
2014	3.9	1	22	12	1990	SãoPaulo	Pequeno	-49.4638900000	-20.6166700000
2258	7.7	9	08	02	1993	SãoPaulo	Pequeno	-45.4305600000	-23.5305600000
5186	18.5	237	24	09	1999	MatoGrossodoSul	Pequeno	-51.6311100000	-20.8555600000
4760	9.4	16	14	06	2001	SãoPaulo	Pequeno	-53.0583300000	-22.5675000000
4907	13	44	14	10	2001	SãoPaulo	Pequeno	-50.4705600000	-20.2113900000
4907	10.9	27	14	10	2001	SãoPaulo	Pequeno	-50.4705600000	-20.2113900000
4907	10.4	21	14	10	2001	SãoPaulo	Pequeno	-50.4705600000	-20.2113900000
5014	3.7	1	22	11	2001	SãoPaulo	Pequeno	-49.3683300000	-20.8086100000
6234	4.2	2	07	05	2002	SãoPaulo	Pequeno	-49.3683300000	-20.8086100000
6234	8.7	12	07	05	2002	SãoPaulo	Pequeno	-49.3683300000	-20.8086100000
6001	10.9	27	24	05	2003	SãoPaulo	Pequeno	-50.2844400000	-20.3294400000
6001	10.7	25	24	05	2003	SãoPaulo	Pequeno	-50.2844400000	-20.3294400000
6001	4.7	2	24	05	2003	SãoPaulo	Pequeno	-50.2844400000	-20.3294400000
7984	16.9	85	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	13	40	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	11.5	37	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	6.5	5	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	7.9	11	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	11	26	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	7.8	9	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	8.3	11	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	6.5	5	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	6.2	4	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
7984	6.6	5	17	07	2003	SãoPaulo	Pequeno	-47.5091700000	-22.3744400000
