CP	P	ANO	state	Amb	Longitude	Latitude
4.8	2.2	1980	SaoPaulo	Grande	-49.3872200000	-20.6566700000
4.4	2	1980	SaoPaulo	Grande	-49.4061100000	-20.7019400000
10.45	23	1980	SaoPaulo	Grande	-49.4030600000	-20.6452800000
5.3	3	1980	SaoPaulo	Pequeno	-49.5480600000	-21.0766700000
20.1	218	1980	SaoPaulo	Grande	-49.4202800000	-20.6088900000
6.8	7	1981	SaoPaulo	Grande	-49.3872200000	-20.6566700000
7	6	1981	SaoPaulo	Grande	-49.4030600000	-20.6452800000
3.75	1	1984	SaoPaulo	Grande	-49.3872200000	-20.6566700000
7.6	12.5	1984	SaoPaulo	Pequeno	-49.2683300000	-20.9027800000
9.2	20.5	1985	SaoPaulo	Pequeno	-49.4638900000	-20.6166700000
9.5	18	1985	SaoPaulo	Grande	-49.3872200000	-20.6566700000
10.6	28.5	1985	SaoPaulo	Grande	-49.4202800000	-20.6088900000
5.7	5	1986	SaoPaulo	Pequeno	-48.0022200000	-24.6925000000
15.9	85.7	1986	SaoPaulo	Pequeno	-49.4638900000	-20.6166700000
16.5	86	1987	SaoPaulo	Pequeno	-48.0022200000	-24.6925000000
18.45	118	1988	SaoPaulo	Pequeno	-48.1163900000	-22.2791700000
10.9	27.3	1988	SaoPaulo	Grande	-49.3933300000	-21.1911100000
18.4	127.8	1988	SaoPaulo	Pequeno	-49.9802800000	-22.8905600000
7.6	9	1988	SaoPaulo	Grande	-49.4002800000	-21.2705600000
5.2	2	1988	SaoPaulo	Pequeno	-51.5019400000	-20.8225000000
10.8	23	1988	SaoPaulo	Grande	-49.4202800000	-20.6088900000
4.4	2.3	1988	SaoPaulo	Pequeno	-49.4638900000	-20.6166700000
11.4	37.5	1989	SaoPaulo	Grande	-49.3933300000	-21.1911100000
28	320	1989	SaoPaulo	Pequeno	-50.0577800000	-20.5405600000
8.2	15.5	1990	SaoPaulo	Grande	-49.3772200000	-21.0427800000
9.4	41	1990	SaoPaulo	Pequeno	-49.4638900000	-20.6166700000
13	48	1991	SaoPaulo	Grande	-49.3772200000	-21.0427800000
8.4	12.5	1992	SaoPaulo	Grande	-49.3550000000	-20.7738900000
