catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
2	14.5	72	08	01	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
2	8.7	14	08	01	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
64	9.5	19	21	02	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
30	10.7	27	24	02	1982	SãoPaulo	Grande	-49.4202800000	-20.6088900000
5	16.2	92	28	10	1983	SãoPaulo	Grande	-49.4202800000	-20.6088900000
19	16.2	96	08	10	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
19	16	99	08	10	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
3	16.3	93	10	09	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
23	11.3	33	04	02	1990	SãoPaulo	Pequeno	-49.8502800000	-21.5305600000
23	10.5	22	04	02	1990	SãoPaulo	Pequeno	-49.8502800000	-21.5305600000
23	9.8	22	04	02	1990	SãoPaulo	Pequeno	-49.8502800000	-21.5305600000
63	7.3	9	31	10	1990	SãoPaulo	Grande	-49.3933300000	-21.1911100000
2347	9.6	21	15	01	1992	SãoPaulo	Grande	-49.3933300000	-21.1911100000
3569	7.6	10	08	10	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3569	8.5	13	08	10	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	9.6	18	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	7.9	10	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	10.4	24	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	10.3	21	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	9.2	17	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	10.3	22	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	9.5	17	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	9	15	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	9.9	18	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	8.5	12	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3694	8.7	12	19	11	1999	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3733	10	17	16	12	1999	SãoPaulo	Pequeno	-50.0183300000	-20.9663900000
3822	8.9	14	11	02	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3911	4.1	2	27	04	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3911	4	2	27	04	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3931	5	3	24	05	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3982	4.4	2	29	06	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
3982	4.1	2	29	06	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
4318	5.1	3	18	08	2000	SãoPaulo	Pequeno	-50.0186100000	-20.9672200000
6169	5.5	4	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.8	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.6	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.3	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	5	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4	1	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.2	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6336	14.7	64	26	02	2004	MinasGerais	Pequeno	-50.5313900000	-19.7997200000
6336	14.8	62	26	02	2004	MinasGerais	Pequeno	-50.5313900000	-19.7997200000
6851	21.5	267	02	09	2004	SãoPaulo	Pequeno	-51.3366700000	-21.2930600000
6851	13.7	62	02	09	2004	SãoPaulo	Pequeno	-51.3366700000	-21.2930600000
6851	9.9	24	02	09	2004	SãoPaulo	Pequeno	-51.3366700000	-21.2930600000
10065	3.8	1	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10065	3.8	1	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
7551	4.8	3	23	04	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
7551	3.8	1	23	04	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
9386	11.7	39	28	07	2005	SãoPaulo	Pequeno	-49.2772200000	-20.3797200000
9538	5.7	4	13	07	2005	SãoPaulo	Pequeno	-49.8233300000	-20.1100000000
9538	6.6	7	13	07	2005	SãoPaulo	Pequeno	-49.8233300000	-20.1100000000
9538	5.7	4	13	07	2005	SãoPaulo	Pequeno	-49.8233300000	-20.1100000000
9538	5.3	4	13	07	2005	SãoPaulo	Pequeno	-49.8233300000	-20.1100000000
9631	7.4	9	15	07	2005	SãoPaulo	Grande	-49.5469400000	-20.2072200000
9307	14.1	72	27	12	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
8398	21.7	207	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	19.4	161	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	18.1	147	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	19.3	155	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	14	62	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	17.7	120	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	18.7	147	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	14.5	74	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	14.4	69	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8398	14.2	60	18	01	2006	SãoPaulo	Pequeno	-47.5863900000	-21.7330600000
8414	21.8	264	19	01	2006	SãoPaulo	Pequeno	-47.6394400000	-21.7238900000
9509	10.5	29	23	03	2006	SãoPaulo	Pequeno	-49.2775000000	-20.3530600000
9288	5.5	4	29	03	2006	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
9003	7.2	8	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
9003	7.4	8	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
9003	6.7	7	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
10330	5.7	4	21	04	2007	SãoPaulo	Pequeno	-50.9633300000	-21.0313900000
18180	11.8	42	15	05	2007	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
18180	11.8	45	15	05	2007	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
18180	11.1	38	15	05	2007	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
18180	10.4	36	15	05	2007	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
18180	10.3	30	15	05	2007	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10842	19	193	15	07	2007	SãoPaulo	Pequeno	-50.3702800000	-20.0005600000
17668	12.2	50	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	18	141	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	22.5	286	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	14.5	69	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	3.6	2	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
11061	4.3	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	2.7	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	4.4	2	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	3.5	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	3.2	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
12646	5.4	4	30	05	2010	MatoGrossodoSul	Pequeno	-51.2927800000	-20.0983300000
13057	6.3	5	23	10	2010	SãoPaulo	Pequeno	-48.4675000000	-20.4705600000
