catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
2	14.5	72	08	01	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
2	8.7	14	08	01	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
64	9.5	19	21	02	1981	SãoPaulo	Grande	-49.4202800000	-20.6088900000
30	10.7	27	24	02	1982	SãoPaulo	Grande	-49.4202800000	-20.6088900000
5	16.2	92	28	10	1983	SãoPaulo	Grande	-49.4202800000	-20.6088900000
19	16.2	96	08	10	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
19	16	99	08	10	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
3	16.3	93	10	09	1984	SãoPaulo	Grande	-49.4202800000	-20.6088900000
63	7.3	9	31	10	1990	SãoPaulo	Grande	-49.3933300000	-21.1911100000
2347	9.6	21	15	01	1992	SãoPaulo	Grande	-49.3933300000	-21.1911100000
6169	5.5	4	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.8	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.6	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.3	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	5	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4	1	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
6169	4.2	2	16	07	2003	SãoPaulo	Grande	-50.9269400000	-20.5188900000
7551	4.8	3	23	04	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
7551	3.8	1	23	04	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
9631	7.4	9	15	07	2005	SãoPaulo	Grande	-49.5469400000	-20.2072200000
9003	7.2	8	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
9003	7.4	8	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
9003	6.7	7	26	08	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
17668	12.2	50	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	18	141	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	22.5	286	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	14.5	69	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
17668	3.6	2	31	12	2007	SãoPaulo	Grande	-48.3202800000	-21.2505600000
11061	4.3	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	2.7	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	4.4	2	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	3.5	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
11061	3.2	1	22	03	2008	SãoPaulo	Grande	-50.6588900000	-20.5383300000
15698	4.3	2	12	04	2011	SãoPaulo	Grande	-49.3366700000	-21.1072200000
17492	11.5	33	11	06	2011	SãoPaulo	Grande	-47.7002800000	-21.5505600000
17492	13	33	11	06	2011	SãoPaulo	Grande	-47.7002800000	-21.5505600000
17492	7.4	9	11	06	2011	SãoPaulo	Grande	-47.7002800000	-21.5505600000
17492	7	6	11	06	2011	SãoPaulo	Grande	-47.7002800000	-21.5505600000
14399	13.2	45	26	09	2011	SãoPaulo	Grande	-51.8991700000	-22.4800000000
19275	5.9	5	05	09	2013	SãoPaulo	Grande	-50.9269400000	-20.5188900000
19275	5.8	4	05	09	2013	SãoPaulo	Grande	-50.9269400000	-20.5188900000
