CP	P	ANO	state	Amb	Longitude	Latitude
10.6	31	1981	SaoPaulo	Grande	-49.4202800000	-20.6088900000
10.7	27	1982	SaoPaulo	Grande	-49.4202800000	-20.6088900000
16.2	92	1983	SaoPaulo	Grande	-49.4202800000	-20.6088900000
16.2	95.3	1984	SaoPaulo	Grande	-49.4202800000	-20.6088900000
10.5	25.7	1990	SaoPaulo	Pequeno	-49.8502800000	-21.5305600000
7.3	9	1990	SaoPaulo	Grande	-49.3933300000	-21.1911100000
9.6	21	1992	SaoPaulo	Grande	-49.3933300000	-21.1911100000
9.1	15.1	1999	SaoPaulo	Pequeno	-50.0183300000	-20.9663900000
5.5	4.8	2000	SaoPaulo	Pequeno	-50.0186100000	-20.9672200000
4.6	2.1	2003	SaoPaulo	Grande	-50.9269400000	-20.5188900000
14.8	63	2004	MinasGerais	Pequeno	-50.5313900000	-19.7997200000
15	117.7	2004	SaoPaulo	Pequeno	-51.3366700000	-21.2930600000
3.8	1	2005	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
4.3	2	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
11.7	39	2005	SaoPaulo	Pequeno	-49.2772200000	-20.3797200000
5.8	4.8	2005	SaoPaulo	Pequeno	-49.8233300000	-20.1100000000
7.4	9	2005	SaoPaulo	Grande	-49.5469400000	-20.2072200000
14.1	72	2005	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
17.2	120.2	2006	SaoPaulo	Pequeno	-47.5863900000	-21.7330600000
21.8	264	2006	SaoPaulo	Pequeno	-47.6394400000	-21.7238900000
10.5	29	2006	SaoPaulo	Pequeno	-49.2775000000	-20.3530600000
5.5	4	2006	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
7.1	7.7	2006	MatoGrossodoSul	Grande	-51.1986100000	-20.2719400000
5.7	4	2007	SaoPaulo	Pequeno	-50.9633300000	-21.0313900000
11.1	38.2	2007	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
19	193	2007	SaoPaulo	Pequeno	-50.3702800000	-20.0005600000
14.2	109.6	2007	SaoPaulo	Grande	-48.3202800000	-21.2505600000
3.6	1.2	2008	SaoPaulo	Grande	-50.6588900000	-20.5383300000
5.4	4	2010	MatoGrossodoSul	Pequeno	-51.2927800000	-20.0983300000
6.3	5	2010	SaoPaulo	Pequeno	-48.4675000000	-20.4705600000
4.3	2	2011	SaoPaulo	Grande	-49.3366700000	-21.1072200000
9.7	20.3	2011	SaoPaulo	Grande	-47.7002800000	-21.5505600000
13.2	45	2011	SaoPaulo	Grande	-51.8991700000	-22.4800000000
16.7	134.5	2012	Goias	Pequeno	-50.2450000000	-17.2750000000
5.8	4	2012	Goias	Pequeno	-50.1055600000	-17.2061100000
6.6	6	2012	SaoPaulo	Pequeno	-49.6850000000	-20.1858300000
17.8	138	2012	SaoPaulo	Pequeno	-47.7719400000	-21.9019400000
6.5	6.8	2013	SaoPaulo	Pequeno	-49.6850000000	-20.1858300000
5.9	4.5	2013	SaoPaulo	Grande	-50.9269400000	-20.5188900000
19.5	189	2014	SaoPaulo	Pequeno	-47.5927800000	-23.4005600000
18	146.5	2017	SaoPaulo	Pequeno	-47.7687805556	-23.3263888889
9.5	19	2017	MinasGerais	Pequeno	-47.8513888889	-19.9880555556
13.8	65	2018	SaoPaulo	Pequeno	-48.4202777778	-23.4261111111
