catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
1272	21.8	252	01	01	1900	SãoPaulo	Pequeno	-53.0583300000	-22.5675000000
15333	13.3	44	01	01	1900	SãoPaulo	Pequeno	-47.9888900000	-23.8738900000
17786	9.4	11	01	01	1900	MinasGerais	Pequeno	-46.7141700000	-20.7886100000
5474	16.6	102	19	04	2003	Goias	Pequeno	-48.9533300000	-16.9727800000
5474	14.5	56	19	04	2003	Goias	Pequeno	-48.9533300000	-16.9727800000
8612	6.5	6	24	05	2006	MinasGerais	Grande	-44.3494400000	-21.5230600000
9022	6.2	4	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.4	1	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	7.4	8	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	5.7	5	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.6	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	6.3	5	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	5.8	4	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	5.4	3	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	5.7	5	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.4	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.7	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.6	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.9	3	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	3.7	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9022	4.2	2	27	08	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
13334	18.8	120	26	04	2007	MinasGerais	Pequeno	-45.9036100000	-20.2875000000
14088	15.7	73	28	08	2011	SãoPaulo	Pequeno	-50.2947200000	-21.7161100000
14088	13.7	47	28	08	2011	SãoPaulo	Pequeno	-50.2947200000	-21.7161100000
14104	10.9	21	27	08	2011	SãoPaulo	Pequeno	-50.1511100000	-21.7894400000
15974	15.8	63	15	06	2012	SãoPaulo	Pequeno	-50.3533300000	-19.8575000000
18973	10.2	21	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
18973	9.5	16	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
18973	9.4	15	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
18973	10.3	22	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
18973	11.4	24	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
18973	9.7	19	01	02	2013	SãoPaulo	Pequeno	-49.2402800000	-23.5305600000
19329	12.5	34	05	03	2013	MinasGerais	Pequeno	-46.7230600000	-20.7763900000
20407	17	90	30	06	2013	MinasGerais	Pequeno	-50.1627800000	-19.0188900000
20407	17.3	79	30	06	2013	MinasGerais	Pequeno	-50.1627800000	-19.0188900000
19503	14.1	65	14	12	2013	SãoPaulo	Pequeno	-49.6850000000	-20.1858300000
21344	25.5	80	10	01	2017	SãoPaulo	Pequeno	-47.7687805556	-23.3263888889
21344	9.8	16	10	01	2017	SãoPaulo	Pequeno	-47.7687805556	-23.3263888889
