catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
10056	10	29	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	10	33	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.7	27	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.6	28	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9	21	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.2	22	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.2	21	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.8	29	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.1	28	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	10	31	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.1	24	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	10.9	38	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.6	26	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.9	27	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9	21	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.5	22	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.5	25	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.3	26	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	10.3	32	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	10.7	36	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.5	24	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
10056	9.8	26	21	02	2005	SãoPaulo	Pequeno	-49.2666700000	-20.4166700000
