CP	P	ANO	state	Amb	Longitude	Latitude
17.9	132	1992	SaoPaulo	Pequeno	NA	NA
16.9	111	1992	SaoPaulo	Pequeno	NA	NA
16.4	110	1992	SaoPaulo	Pequeno	NA	NA
16.2	110	1992	SaoPaulo	Pequeno	NA	NA
12.8	60	2005	SaoPaulo	Pequeno	-49.3513900000	-20.1822200000
11.1	34.6	2005	SaoPaulo	Grande	-49.4005600000	-20.3847200000
13.7	76.8	2005	SaoPaulo	Pequeno	-49.2650000000	-20.4155600000
11.2	47.1	2005	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
18.2	155	2005	SaoPaulo	Pequeno	-49.2772200000	-20.3797200000
8.5	18.4	2006	SaoPaulo	Pequeno	-49.2666700000	-20.4197200000
7.6	14	2006	SaoPaulo	Pequeno	-49.2680600000	-20.4105600000
10.6	37.2	2006	SaoPaulo	Pequeno	-49.2775000000	-20.3530600000
7.7	12	2006	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
9.8	27.4	2007	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
11.5	93	2007	SaoPaulo	Grande	-48.3202800000	-21.2505600000
8.6	17.5	2011	SaoPaulo	Grande	-49.3366700000	-21.1072200000
9.3	25	2012	Goias	Pequeno	-50.1055600000	-17.2061100000
17.4	134	2012	MinasGerais	Pequeno	-48.1917638889	-19.6962500000
13.9	86.8	2017	SaoPaulo	Pequeno	-47.7687805556	-23.3263888889
