catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
3106	6.2	1	30	04	1999	SãoPaulo	Pequeno	-50.01833	-20.96639
3719	7.5	3	16	12	1999	SãoPaulo	Pequeno	-50.01861	-20.96722
3838	7.1	2	11	02	2000	SãoPaulo	Pequeno	-50.01833	-20.96639
3850	6.7	2	24	02	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3879	6.6	2	23	03	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3905	6.7	1	27	04	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3905	5.6	1	27	04	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
4327	8.3	4	18	08	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
4327	6.8	2	18	08	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
8020	9	5	20	02	2003	SãoPaulo	Grande	-47.76639	-22.38972
8020	8.1	3	20	02	2003	SãoPaulo	Grande	-47.76639	-22.38972
5450	9.8	6	27	03	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	5.9	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	6	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	5.3	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6286	6	1	04	10	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
8012	8.1	4	28	01	2004	SãoPaulo	Pequeno	-47.69833	-22.46167
6551	10.7	9	12	03	2004	SãoPaulo	Pequeno	-49.49139	-21.03528
8569	4.8	2	15	05	2006	SãoPaulo	Grande	-49.48889	-20.99889
8569	9.9	8	15	05	2006	SãoPaulo	Grande	-49.48889	-20.99889
15386	19.6	58	01	02	2007	SãoPaulo	Pequeno	-46.82361	-24.04889
19248	11.7	16	01	06	2009	Paraná	Grande	-51.29972	-24.84472
15167	8.4	5	04	10	2011	SãoPaulo	Grande	-49.23083	-20.87917
15184	6.3	1	05	10	2011	SãoPaulo	Pequeno	-49.42306	-20.97056
15239	10	9	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
15239	9	9	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
15239	6.6	1	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
13055	12	11	23	10	2010	SãoPaulo	Grande	-48.46750	-20.47056
17729	12.8	19	18	12	2012	SãoPaulo	Grande	-48.64333	-22.51417
17729	11	11	18	12	2012	SãoPaulo	Grande	-48.64333	-22.51417
20615	6.6	2	02	11	2012	SãoPaulo	Grande	-47.59694	-23.42361
21102	13	24	21	11	2012	MinasGerais	Grande	-48.231552	-19.542883
21102	11.4	14	21	11	2012	MinasGerais	Grande	-48.231552	-19.542883
19227	9.9	7	11	07	2013	SãoPaulo	Pequeno	-46.98500	-21.96556
