catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
5561	5.5	3	21	05	2003	MinasGerais	Pequeno	-47.8230600000	-19.6611100000
6006	5.3	2	24	05	2003	SãoPaulo	Pequeno	-50.2844400000	-20.3294400000
6035	9.4	15	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
6035	12.6	37	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
6035	7	6	03	06	2003	SãoPaulo	Pequeno	-50.3208300000	-20.5283300000
7964	12.5	20	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
7964	11.3	15	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
7964	9.9	14	12	09	2003	SãoPaulo	Pequeno	-47.6977800000	-22.4608300000
7977	12.4	25	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	12.4	24	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	15.9	61	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	12.4	31	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	10.3	12	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	7.6	6	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	11.2	18	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	11.6	22	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	9.3	11	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	6.2	4	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	5.8	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	6.1	3	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	5.2	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	4.7	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
7977	4.6	2	28	01	2004	SãoPaulo	Pequeno	-47.6983300000	-22.4616700000
6553	13.4	41	12	03	2004	SãoPaulo	Pequeno	-49.4913900000	-21.0352800000
7605	10	16	27	04	2005	SãoPaulo	Pequeno	-47.8927800000	-24.6036100000
7605	7.5	6	27	04	2005	SãoPaulo	Pequeno	-47.8927800000	-24.6036100000
7605	7.9	8	27	04	2005	SãoPaulo	Pequeno	-47.8927800000	-24.6036100000
7582	16.7	77	30	04	2005	SãoPaulo	Pequeno	-49.4913900000	-21.0352800000
7582	14.9	55	30	04	2005	SãoPaulo	Pequeno	-49.4913900000	-21.0352800000
7582	11.4	25	30	04	2005	SãoPaulo	Pequeno	-49.4913900000	-21.0352800000
7594	8.2	9	30	04	2005	SãoPaulo	Pequeno	-49.4888900000	-20.9988900000
7650	5.1	3	30	04	2005	SãoPaulo	Pequeno	-49.4877800000	-20.9888900000
16081	7.8	8	13	07	2005	SãoPaulo	Pequeno	-49.8233300000	-20.1100000000
9528	6.5	5	13	07	2005	SãoPaulo	Pequeno	-49.8677800000	-20.1908300000
9528	7.2	7	13	07	2005	SãoPaulo	Pequeno	-49.8677800000	-20.1908300000
9851	7.3	7	18	08	2005	SãoPaulo	Pequeno	-48.8002800000	-21.0519400000
9851	6.5	5	18	08	2005	SãoPaulo	Pequeno	-48.8002800000	-21.0519400000
8375	12.2	29	17	01	2006	SãoPaulo	Pequeno	-47.5813900000	-21.7269400000
