CP	P	ANO	state	Amb	Longitude	Latitude
10.9	24	1985	SaoPaulo	Grande	-49.4030600000	-20.6452800000
12.1	22	1990	SaoPaulo	Grande	-49.3933300000	-21.1911100000
7.3	6	1991	SaoPaulo	Grande	-49.3933300000	-21.1911100000
5.3	2	1997	SaoPaulo	Grande	-49.3933300000	-21.1911100000
16.3	74	1999	SaoPaulo	Grande	-49.3894400000	-20.8736100000
6	5	1999	SaoPaulo	Grande	-49.3744400000	-20.8822200000
19.4	129	1999	SaoPaulo	Grande	-49.3469400000	-20.9083300000
7.3	6.5	1999	SaoPaulo	Grande	-49.3588900000	-20.8608300000
5.4	3	2001	SaoPaulo	Grande	-50.3727800000	-20.1719400000
6.9	5	2002	SaoPaulo	Grande	-50.5177800000	-20.1588900000
6.3	4.5	2002	SaoPaulo	Grande	-49.3933300000	-21.1911100000
6.5	5	2003	SaoPaulo	Grande	-50.3116700000	-21.2986100000
7.9	14.4	2003	SaoPaulo	Grande	-47.7988900000	-22.4025000000
5.5	2	2003	SaoPaulo	Grande	-49.7100000000	-20.7147200000
9.5	13.8	2003	SaoPaulo	Grande	-49.8113900000	-20.7172200000
5.5	3	2003	MinasGerais	Pequeno	-47.8230600000	-19.6611100000
8.4	11	2003	SaoPaulo	Grande	-49.8925000000	-20.6255600000
4.4	2	2003	SaoPaulo	Grande	-49.9683300000	-20.6127800000
10.6	25	2003	SaoPaulo	Grande	-50.0211100000	-20.6741700000
11.0	28.8	2003	SaoPaulo	Grande	-50.0213900000	-20.6313900000
13.3	48	2003	SaoPaulo	Grande	-50.2816700000	-20.5975000000
10.4	22	2003	SaoPaulo	Grande	-49.8869400000	-20.4758300000
15.6	76	2003	SaoPaulo	Grande	-50.2633300000	-20.4441700000
5.3	2	2003	SaoPaulo	Pequeno	-50.2844400000	-20.3294400000
9.7	19.3	2003	SaoPaulo	Pequeno	-50.3208300000	-20.5283300000
6.4	3.8	2003	SaoPaulo	Grande	-50.3716700000	-20.6286100000
9.0	19.5	2003	SaoPaulo	Grande	-50.7580600000	-20.5969400000
7.3	7.3	2003	SaoPaulo	Grande	-50.5858300000	-20.3830600000
5.3	2.3	2003	SaoPaulo	Grande	-50.5850000000	-20.4633300000
5.2	3	2003	SaoPaulo	Grande	-50.6786100000	-20.3475000000
8.6	11	2003	SaoPaulo	Grande	-50.9269400000	-20.5188900000
7.4	6.3	2003	SaoPaulo	Grande	-49.3933300000	-21.1911100000
11.2	16.3	2003	SaoPaulo	Pequeno	-47.6977800000	-22.4608300000
9.8	18	2003	SaoPaulo	Grande	-49.3444400000	-20.8375000000
9.0	15	2004	SaoPaulo	Pequeno	-47.6983300000	-22.4616700000
13.4	41	2004	SaoPaulo	Pequeno	-49.4913900000	-21.0352800000
6.9	8.3	2004	SaoPaulo	Grande	-49.4577800000	-20.7850000000
6.9	6	2004	SaoPaulo	Grande	-49.6688900000	-20.8341700000
9	12	2004	SaoPaulo	Grande	-49.6902800000	-20.8016700000
8.1	15.3	2004	SaoPaulo	Grande	-49.3519400000	-20.8411100000
11	24.1	2004	SaoPaulo	Grande	-49.3191700000	-20.8377800000
5.2	3	2004	SaoPaulo	Grande	-50.6877800000	-20.2222200000
13.2	44	2004	SaoPaulo	Grande	-50.7758300000	-20.1430600000
9.0	17.3	2004	SaoPaulo	Grande	-50.9411100000	-20.0791700000
10.9	23	2004	SaoPaulo	Grande	-50.0502800000	-20.3719400000
11.2	22	2004	SaoPaulo	Grande	-50.1863900000	-20.1358300000
13.2	64.3	2004	SaoPaulo	Grande	-50.2069400000	-20.0877800000
14.4	48	2004	SaoPaulo	Grande	-50.4913900000	-20.1288900000
6	4	2004	SaoPaulo	Grande	-49.9252800000	-20.2888900000
7.1	6	2004	SaoPaulo	Grande	-49.6561100000	-20.8522200000
5.8	4.5	2005	SaoPaulo	Grande	-49.6902800000	-20.8016700000
9.5	15.7	2005	SaoPaulo	Grande	-49.6688900000	-20.8341700000
7.1	6.8	2005	SaoPaulo	Grande	-49.4577800000	-20.7850000000
6.0	5	2005	SaoPaulo	Grande	-49.3519400000	-20.8411100000
8.5	10	2005	SaoPaulo	Pequeno	-47.8927800000	-24.6036100000
14.3	52.3	2005	SaoPaulo	Pequeno	-49.4913900000	-21.0352800000
8.2	9	2005	SaoPaulo	Pequeno	-49.4888900000	-20.9988900000
5.1	3	2005	SaoPaulo	Pequeno	-49.4877800000	-20.9888900000
5.8	3.3	2005	SaoPaulo	Grande	-49.8327800000	-20.3691700000
8.7	18.3	2005	SaoPaulo	Grande	-49.8138900000	-20.4261100000
8.7	12	2005	SaoPaulo	Grande	-49.6855600000	-20.4022200000
8.5	24.5	2005	SaoPaulo	Grande	-49.6161100000	-20.4233300000
7.2	8	2005	SaoPaulo	Grande	-49.3830600000	-20.3252800000
7.7	8	2005	SaoPaulo	Grande	-51.1002800000	-21.2833300000
6.2	4	2005	SaoPaulo	Grande	-51.0836100000	-21.2875000000
4.5	2	2005	SaoPaulo	Grande	-51.0688900000	-21.2769400000
7.8	8	2005	SaoPaulo	Pequeno	-49.8233300000	-20.1100000000
10.2	29	2005	SaoPaulo	Grande	-49.9233300000	-20.1033300000
8.7	14.5	2005	SaoPaulo	Grande	-49.8677800000	-20.1908300000
5.5	3	2005	SaoPaulo	Grande	-49.5566700000	-20.1519400000
13	47.2	2005	SaoPaulo	Grande	-49.5469400000	-20.2072200000
11.6	26.5	2005	SaoPaulo	Grande	-49.3416700000	-20.9055600000
7.4	8.9	2005	SaoPaulo	Grande	-49.4650000000	-20.8122200000
8.8	14	2005	SaoPaulo	Grande	-49.2233300000	-20.7202800000
7.3	8	2005	SaoPaulo	Grande	-49.0816700000	-20.6947200000
15.5	70	2005	SaoPaulo	Grande	-49.0383300000	-20.6769400000
9.3	14	2005	SaoPaulo	Grande	-49.5561100000	-20.6522200000
7.9	9.3	2005	SaoPaulo	Grande	-48.6041700000	-21.1663900000
7.1	6	2005	SaoPaulo	Grande	-48.7427800000	-21.2144400000
6.6	7	2005	SaoPaulo	Grande	-48.8302800000	-20.9391700000
10.0	20	2005	SaoPaulo	Grande	-48.8086100000	-20.7725000000
6.9	6	2005	SaoPaulo	Pequeno	-48.8002800000	-21.0519400000
7.7	8.5	2005	SaoPaulo	Grande	-48.9516700000	-21.2122200000
12.2	29	2006	SaoPaulo	Pequeno	-47.5813900000	-21.7269400000
5.7	3	2006	SaoPaulo	Grande	-47.5933300000	-21.7152800000
14.5	54.7	2006	SaoPaulo	Grande	-49.4888900000	-20.9988900000
13.6	39.5	2006	MinasGerais	Grande	-46.8241700000	-21.0027800000
13.3	34	2006	MinasGerais	Grande	-46.8241700000	-20.8516700000
4	2	2006	SaoPaulo	Pequeno	-50.0230600000	-20.5788900000
7.9	8	2006	SaoPaulo	Pequeno	-50.0266700000	-20.5788900000
5.7	3	2006	MinasGerais	Pequeno	-48.7536100000	-19.4980600000
10.3	16	2006	SaoPaulo	Grande	-46.8802800000	-23.1805600000
9.0	10.8	2006	MinasGerais	Grande	-48.0322200000	-18.8675000000
13.8	39	2006	MinasGerais	Grande	-46.7658300000	-19.0902800000
4.1	1	2006	MinasGerais	Grande	-47.7158300000	-19.6919400000
12.1	27	2006	DistritoFederal	Pequeno	-47.9066700000	-15.6994400000
12.6	25.5	2006	DistritoFederal	Grande	-47.9377800000	-15.9466700000
6.0	3.5	2007	SaoPaulo	Grande	-48.7472200000	-21.3600000000
5.7	3.3	2007	SaoPaulo	Pequeno	-48.7025000000	-21.2836100000
5.7	3	2007	SaoPaulo	Pequeno	-48.4980600000	-21.0122200000
4.7	1.8	2007	SaoPaulo	Grande	-48.5758300000	-21.0238900000
4.7	2	2007	SaoPaulo	Grande	-50.7905600000	-21.6227800000
6.5	5.7	2007	SaoPaulo	Grande	-50.7758300000	-21.6538900000
4.3	2	2007	SaoPaulo	Pequeno	-50.7572200000	-21.6488900000
4.3	1	2007	SaoPaulo	Grande	-50.7994400000	-21.1563900000
20.7	153	2007	SaoPaulo	Grande	-50.7580600000	-20.8130600000
10.2	16	2007	SaoPaulo	Grande	-50.7136100000	-20.7038900000
10.1	14	2007	MinasGerais	Grande	-47.7158300000	-19.6919400000
19.3	144	2007	SaoPaulo	Grande	-51.5222200000	-20.7886100000
5.7	3	2007	MinasGerais	Pequeno	-48.6097200000	-18.6200000000
8.3	11	2007	SaoPaulo	Grande	-50.2033300000	-21.1522200000
8.7	14.3	2007	SaoPaulo	Pequeno	-50.2505600000	-21.2602800000
7.7	12.8	2007	SaoPaulo	Grande	-48.3202800000	-21.2505600000
8.6	11.5	2008	MatoGrossodoSul	Grande	-55.3961100000	-20.5066700000
14.7	58	2008	MatoGrossodoSul	Grande	-56.0172200000	-20.7241700000
15.5	57	2008	SaoPaulo	Pequeno	-47.6666700000	-22.2500000000
