catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
3106	6.2	1	30	04	1999	SãoPaulo	Pequeno	-50.01833	-20.96639
3719	7.5	3	16	12	1999	SãoPaulo	Pequeno	-50.01861	-20.96722
3838	7.1	2	11	02	2000	SãoPaulo	Pequeno	-50.01833	-20.96639
3850	6.7	2	24	02	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3879	6.6	2	23	03	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3905	6.7	1	27	04	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
3905	5.6	1	27	04	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
4327	8.3	4	18	08	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
4327	6.8	2	18	08	2000	SãoPaulo	Pequeno	-50.01861	-20.96722
5450	9.8	6	27	03	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	5.9	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	6	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6277	5.3	1	02	08	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
6286	6	1	04	10	2003	SãoPaulo	Pequeno	-49.45972	-21.02167
8012	8.1	4	28	01	2004	SãoPaulo	Pequeno	-47.69833	-22.46167
6551	10.7	9	12	03	2004	SãoPaulo	Pequeno	-49.49139	-21.03528
15386	19.6	58	01	02	2007	SãoPaulo	Pequeno	-46.82361	-24.04889
15184	6.3	1	05	10	2011	SãoPaulo	Pequeno	-49.42306	-20.97056
15239	10	9	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
15239	9	9	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
15239	6.6	1	06	10	2011	SãoPaulo	Pequeno	-49.23889	-21.04944
19227	9.9	7	11	07	2013	SãoPaulo	Pequeno	-46.98500	-21.96556
