CP	P	ANO	state	Amb	Longitude	Latitude
6.9	2	1999	SaoPaulo	Pequeno	-50.01861	-20.96722
6.8	2	2000	SaoPaulo	Pequeno	-50.01861	-20.96722
8.6	4	2003	SaoPaulo	Grande	-47.76639	-22.38972
7.2	2.7	2003	SaoPaulo	Pequeno	-49.45972	-21.02167
8.1	4	2004	SaoPaulo	Pequeno	-47.69833	-22.46167
10.7	9	2004	SaoPaulo	Pequeno	-49.49139	-21.03528
7.4	5	2006	SaoPaulo	Grande	-49.48889	-20.99889
19.6	58	2007	SaoPaulo	Pequeno	-46.82361	-24.04889
11.7	16	2009	Paraná	Grande	-51.29972	-24.84472
8.4	5	2011	SaoPaulo	Grande	-49.23083	-20.87917
6.3	1	2011	SaoPaulo	Pequeno	-49.42306	-20.97056
8.5	6.3	2011	SaoPaulo	Pequeno	-49.23889	-21.04944
12	11	2010	SaoPaulo	Grande	-48.46750	-20.47056
11.9	15	2012	SaoPaulo	Grande	-48.64333	-22.51417
6.6	2	2012	SaoPaulo	Grande	-47.59694	-23.42361
12.2	19	2012	MinasGerais	Grande	-48.231552	-19.542883
9.9	7	2013	SaoPaulo	Pequeno	-46.98500	-21.96556
