catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
531	21.5	181	17	06	1984	SãoPaulo	Pequeno	-49.4330600000	-20.3900000000
2839	12.4	27	13	04	1987	SãoPaulo	Pequeno	-49.3702800000	-20.8205600000
18203	20	154	16	04	1989	SãoPaulo	Pequeno	-49.9702800000	-20.4205600000
18203	21.2	198	16	04	1989	SãoPaulo	Pequeno	-49.9702800000	-20.4205600000
9470	10.2	17	23	03	2006	SãoPaulo	Pequeno	-49.2680600000	-20.4105600000
9470	9.6	18	23	03	2006	SãoPaulo	Pequeno	-49.2680600000	-20.4105600000
9360	14.2	52	29	03	2006	SãoPaulo	Pequeno	-49.2772200000	-20.3797200000
9360	14.3	48	29	03	2006	SãoPaulo	Pequeno	-49.2772200000	-20.3797200000
9360	11	22	29	03	2006	SãoPaulo	Pequeno	-49.2772200000	-20.3797200000
17809	13	36	01	04	2007	SãoPaulo	Pequeno	-50.2333300000	-20.5083300000
20620	21.6	155	31	07	2014	SãoPaulo	Pequeno	-47.5927800000	-23.4005600000
21436	13.5	33	01	07	2017	MinasGerais	Pequeno	-47.8513888889	-19.9880555556
21436	13.4	31	01	07	2017	MinasGerais	Pequeno	-47.8513888889	-19.9880555556
21339	24.3	289	10	01	2017	SãoPaulo	Pequeno	-47.7687805556	-23.3263888889
21339	22.5	218	10	01	2017	SãoPaulo	Pequeno	-47.7687805556	-23.3263888889
