catalognumber	CP	P	day	month	ANO	state	Amb	Longitude	Latitude
533	11	22.5	31	03	1980	SaoPaulo	Grande	-49.4202800000	-20.6088900000
531	21.5	181	17	06	1984	SaoPaulo	Pequeno	-49.4330600000	-20.3900000000
2839	12.4	27	13	04	1987	SaoPaulo	Pequeno	-49.3702800000	-20.8205600000
18203	20.6	176	16	04	1989	SaoPaulo	Pequeno	-49.9702800000	-20.4205600000
532	9.1	11.5	07	02	1990	SaoPaulo	Grande	-49.3933300000	-21.1911100000
2059	6.4	5	13	02	1992	SaoPaulo	Grande	-49.3933300000	-21.1911100000
9470	9.9	17.5	23	03	2006	SaoPaulo	Pequeno	-49.2680600000	-20.4105600000
9360	13.2	40.7	29	03	2006	SaoPaulo	Pequeno	-49.2772200000	-20.3797200000
17809	13	36	01	04	2007	SaoPaulo	Pequeno	-50.2333300000	-20.5083300000
20620	21.6	155	31	07	2014	SaoPaulo	Pequeno	-47.5927800000	-23.4005600000
21436	13.5	32	01	07	2017	MinasGerais	Pequeno	-47.8513888889	-19.9880555556
21339	23.4	253.5	10	01	2017	SaoPaulo	Pequeno	-47.7687805556	-23.3263888889
